removed_study,LRT,p,coef,metric,test
163,0.04897285012543762,0.8248603274245389,0.0019533966062974754,storage_rate,SOC x temperature
164,0.1552273505865287,0.6935891432160964,0.0034664243937642726,storage_rate,SOC x temperature
165,0.08886778729754496,0.7656214941849608,0.0026539106451639685,storage_rate,SOC x temperature
166,0.017045821444980902,0.8961236663712198,0.001148430683226968,storage_rate,SOC x temperature
170,0.04248918939617852,0.8366900995332587,0.0018370882506082227,storage_rate,SOC x temperature
171,0.04654964958695018,0.8291797574217875,0.0019148822093368863,storage_rate,SOC x temperature
5,0.055665102984676196,0.813483472542553,-1.8634066983940378e-6,storage_rate,depth x precipitation
7,0.07966140978271596,0.7777567830116919,-2.2599912446551346e-6,storage_rate,depth x precipitation
9,0.14879828827235997,0.6996864122299632,-3.231552063914175e-6,storage_rate,depth x precipitation
10,0.01628532249753789,0.8984544838801999,1.000151688089005e-6,storage_rate,depth x precipitation
14,0.0554575767876031,0.8138250835398038,-1.8559672350053564e-6,storage_rate,depth x precipitation
16,0.04284633487429801,0.8360148860895121,-1.6442605497985405e-6,storage_rate,depth x precipitation
17,0.04328371429312483,0.8351919690614549,-1.6540152341777475e-6,storage_rate,depth x precipitation
19,0.11924133205582166,0.7298587870460824,-2.7797645504162925e-6,storage_rate,depth x precipitation
20,0.10082812377174832,0.7508381073739004,-2.557854767373152e-6,storage_rate,depth x precipitation
27,0.08072961046127602,0.7763110896185569,-2.238029297718863e-6,storage_rate,depth x precipitation
29,0.07455721624671696,0.784813494705668,-2.2098172296708456e-6,storage_rate,depth x precipitation
31,0.058110688933311394,0.8095073837385989,-1.8995975528856272e-6,storage_rate,depth x precipitation
33,0.05771248686710351,0.8101486762433617,-1.8934989391389973e-6,storage_rate,depth x precipitation
52,0.028206089902369058,0.8666252202769117,-1.3020360354838247e-6,storage_rate,depth x precipitation
54,0.0961315344806053,0.7565222816378042,-2.4444738915506187e-6,storage_rate,depth x precipitation
58,0.0016100400439427176,0.9679932281414583,-3.9097988646894654e-7,storage_rate,depth x precipitation
65,0.06169975815419093,0.8038292968234172,-1.957030901227934e-6,storage_rate,depth x precipitation
78,0.16256945691111468,0.6868018140221936,-3.2365717299816243e-6,storage_rate,depth x precipitation
91,0.2483014922484017,0.6182735962621391,-3.978143316297131e-6,storage_rate,depth x precipitation
99,0.5457881181409903,0.4600437921083009,-6.3751728603733075e-6,storage_rate,depth x precipitation
102,0.06152830678308874,0.8040964940858012,-1.9613366044238027e-6,storage_rate,depth x precipitation
113,0.05740429315744677,0.8106466211291632,-1.8896365582995311e-06,storage_rate,depth x precipitation
114,0.0015960179873673042,0.9681328341258852,-2.4016897208737705e-7,storage_rate,depth x precipitation
115,0.0014913126635747176,0.9691953357057658,3.2206127786703313e-7,storage_rate,depth x precipitation
121,0.05392002744019919,0.8163773471666861,-1.8310000187214167e-6,storage_rate,depth x precipitation
124,0.05782960136184556,0.8099598245681077,-1.9349294918290727e-6,storage_rate,depth x precipitation
129,0.020074292875960964,0.8873297891480458,-1.0876930271447094e-6,storage_rate,depth x precipitation
139,0.05096282530359986,0.8213962759860625,-1.8046804254529442e-6,storage_rate,depth x precipitation
148,0.057470755618282965,0.810539119203044,-1.8905475054716561e-6,storage_rate,depth x precipitation
150,0.010184074627204609,0.9196170018800325,-7.996167796911946e-7,storage_rate,depth x precipitation
151,0.05714342027920338,0.8110692159925913,-1.8881949714718067e-6,storage_rate,depth x precipitation
153,0.05497996721896925,0.8146138531369161,-1.8740566952493389e-6,storage_rate,depth x precipitation
160,8.795144408395572e-4,0.9763409179105051,2.4198765719235227e-7,storage_rate,depth x precipitation
161,0.05622972867411136,0.8125574249816441,-1.870170465672214e-6,storage_rate,depth x precipitation
162,0.040056153689647545,0.8413708287177861,-1.5874736962408959e-6,storage_rate,depth x precipitation
163,0.06090639922217633,0.8050690328245398,-1.947170413766917e-6,storage_rate,depth x precipitation
164,0.07492397893213365,0.7842979248038782,-2.1828679123351777e-6,storage_rate,depth x precipitation
165,0.05748245392021545,0.8105202041983391,-1.893870897562394e-6,storage_rate,depth x precipitation
166,0.04431538245455613,0.8332679379904777,-1.6536478415348176e-6,storage_rate,depth x precipitation
170,0.05099923608952395,0.8213335618519565,-1.7954792842874728e-6,storage_rate,depth x precipitation
171,0.051419673124655674,0.8206110966888537,-1.8043488331058025e-6,storage_rate,depth x precipitation
